Get all books,2023-05-29T15:09:48.018734
Get all libraries,2023-05-29T15:56:06.716859
Add a new library,2023-05-29T15:56:43.866036
Get all libraries,2023-05-29T15:56:52.596758
Get all libraries,2023-05-29T17:06:49.102857
Get all libraries,2023-05-29T17:07:44.748113
Get all libraries,2023-05-29T17:08:35.581729
Get all libraries,2023-05-29T17:09:20.38061
Get all libraries,2023-05-29T17:09:54.26032
Get all libraries,2023-05-29T17:10:30.400483
Get all libraries,2023-05-29T17:11:35.604904
Get all libraries,2023-05-29T17:12:35.0232
Get all libraries,2023-05-29T17:12:58.010685
Get all libraries,2023-05-29T17:15:40.545591
Get all libraries,2023-05-29T17:16:09.4767
Add a new library,2023-05-29T17:16:32.287757
Get all libraries,2023-05-29T17:16:47.807628
Deletes a library,2023-05-29T17:17:04.547703
Get all libraries,2023-05-29T17:17:14.661592
Add a new library,2023-05-29T17:19:35.838711
Get all libraries,2023-05-29T17:19:42.784335
Add a new library,2023-05-29T17:25:07.362157
Get all libraries,2023-05-29T17:25:11.964179
Add a new library,2023-05-29T17:25:50.52964
Get all libraries,2023-05-29T17:25:54.763252
Get all libraries,2023-05-29T18:16:01.976459
Get all libraries,2023-05-29T18:18:22.907488
Get all libraries,2023-05-29T18:23:52.571844
Gets a library,2023-05-29T18:26:37.780666
Get all libraries,2023-05-29T18:39:34.605786
Add a new library,2023-05-29T18:40:00.529731
Get all libraries,2023-05-29T18:40:09.32478
Get all libraries,2023-05-29T18:40:19.857479
Gets a library,2023-05-29T18:44:18.460298
Update a library,2023-05-29T18:46:38.409985
Get all libraries,2023-05-29T18:46:46.314719
Get all libraries,2023-05-29T18:49:40.993751
Gets a library,2023-05-29T18:49:57.35888
Update a library,2023-05-29T18:50:23.893901
Get all libraries,2023-05-29T18:50:29.855851
Get all libraries,2023-05-29T18:53:03.157175
Gets a library,2023-05-29T18:53:15.719149
Update a library,2023-05-29T18:53:41.554401
Get all libraries,2023-05-29T18:54:48.223571
Get all libraries,2023-05-29T18:57:26.986262
Get all libraries,2023-05-29T18:57:39.774177
Get all libraries,2023-05-29T18:58:20.054024
Get all libraries,2023-05-29T18:58:59.7179
Get all libraries,2023-05-29T18:59:09.847528
Get all sections,2023-05-29T19:20:34.303708
Get all sections,2023-05-29T19:21:15.014617
Get all sections,2023-05-29T19:21:37.17703
Add a new section,2023-05-29T19:25:30.127571
Get all sections,2023-05-29T19:25:54.136378
Get all sections,2023-05-29T19:26:51.580421
Get all sections,2023-05-29T19:56:52.287667
Get all libraries,2023-05-29T23:01:27.675037
Get all sections,2023-05-29T23:01:45.671155
Get all sections in a library,2023-05-29T23:02:03.444002
Get all authors,2023-05-29T23:05:47.401019
Get all books,2023-05-29T23:07:00.966413
Get all books,2023-05-29T23:10:33.433528
Get all books,2023-05-29T23:15:33.056369
Find a book by title,2023-05-29T23:16:29.50091
Borrowing a new book,2023-05-29T23:20:06.326495
Get all books,2023-05-29T23:24:54.609475
Borrowing a new book,2023-05-29T23:25:26.119432
Borrowing a new book,2023-05-29T23:38:34.245786
Borrowing a new book,2023-05-29T23:40:01.300266
Borrowing a new book,2023-05-29T23:40:25.772901
Borrowing a new book,2023-05-29T23:40:47.783306
Borrowing a new book,2023-05-29T23:40:57.492094
Returning a book,2023-05-29T23:44:18.299154
Returning a book,2023-05-29T23:53:04.078369
Returning a book,2023-05-29T23:53:13.558887
Returning a book,2023-05-29T23:54:10.624204
